item_nbr,store_nbr,mae,mean_sales,mae_pct,safety_stock,reorder_point,eoq
1695820,1,3.71,7.42,49.9,20,72,368
1695823,1,8.34,40.9,20.4,80,366,864
1695825,1,2.18,5.85,37.2,17,58,327
1695828,1,12.03,31.78,37.9,68,290,762
1695830,1,3.92,12.16,32.2,24,109,471
1695831,1,4.22,11.67,36.2,26,107,462
1695835,1,15.12,48.58,31.1,103,444,942
1695836,1,12.31,29.14,42.3,68,272,729
1695837,1,4.11,5.88,69.9,19,60,328
1695845,1,5.64,25.53,22.1,51,230,683
1695873,1,3.75,7.12,52.6,18,68,360
1695874,1,5.45,15.3,35.6,27,134,528
1695875,1,4.93,15.65,31.5,32,142,534
1695882,1,1.95,5.92,32.9,16,57,329
1695887,1,3.6,7.91,45.5,20,75,380
1695900,1,3.72,6.43,57.9,22,67,343
1695931,1,3.24,6.2,52.3,20,63,336
1695935,1,3.04,6.63,45.8,15,62,348
1695950,1,4.36,14.55,30.0,28,129,515
1695961,1,3.82,7.64,50.1,19,72,373
1695971,1,4.51,7.81,57.8,22,77,377
1696003,1,4.73,16.54,28.6,34,150,549
1696007,1,11.39,27.19,41.9,67,257,704
1696022,1,4.01,8.66,46.3,21,81,398
1696041,1,7.06,21.31,33.1,77,226,624
1696046,1,3.99,9.86,40.5,28,97,424
1696052,1,5.47,14.97,36.5,36,141,523
1719236,1,4.61,9.06,50.8,22,85,407
1751174,1,6.29,29.53,21.3,67,274,734
1751175,1,4.83,11.75,41.1,25,107,463
1751176,1,4.51,16.41,27.5,41,156,547
1909752,1,6.91,13.83,49.9,36,133,502
1913236,1,6.17,9.0,68.5,37,100,405
1913257,1,1.28,2.46,52.1,6,23,212
1913462,1,5.04,11.66,43.2,27,108,461
1913463,1,5.77,13.14,43.9,37,129,490
1913464,1,4.07,10.29,39.6,28,100,433
1916577,1,2.44,3.81,64.1,11,38,264
1920045,1,4.33,7.68,56.3,19,72,374
1920057,1,2.83,4.69,60.4,12,45,293
1926217,1,5.85,23.0,25.4,45,206,648
1948483,1,3.97,5.0,79.3,21,56,302
1954663,1,4.81,14.96,32.2,37,141,523
1958166,1,4.15,5.06,82.0,52,87,304
1958181,1,6.83,6.1,112.0,23,65,334
1958186,1,2.65,3.0,88.4,10,31,234
1958216,1,22.85,25.77,88.7,277,458,686
1958245,1,1.63,3.34,48.8,9,32,247
1963265,1,3.4,5.49,62.0,16,55,316
